id,day,plant,machine_id,shift,dt,description,category,reason_code
433773,2021-07-28,ventilation,4,1,480,SHEAR,Shear,No Operator
433774,2021-07-28,ventilation,4,1,15,SHEAR,Shear,Operator PM
433775,2021-07-28,ventilation,8,1,5,255,Turret Press,Set Up
433776,2021-07-28,ventilation,8,1,5,255,Turret Press,Load Material
433777,2021-07-28,ventilation,8,1,10,255,Turret Press,Set Up
433778,2021-07-28,ventilation,8,1,10,255,Turret Press,Load Material
433779,2021-07-28,ventilation,8,1,5,255,Turret Press,Set Up
433780,2021-07-28,ventilation,8,1,5,255,Turret Press,Tool Change(special)
433781,2021-07-28,ventilation,8,1,5,255,Turret Press,Set Up
433782,2021-07-28,ventilation,8,1,5,255,Turret Press,Load Material
433783,2021-07-28,ventilation,8,1,2,255,Turret Press,Set Up
433784,2021-07-28,ventilation,8,1,3,255,Turret Press,Load Material
433785,2021-07-28,ventilation,8,1,15,255,Turret Press,Operator PM
433786,2021-07-28,ventilation,24,1,20,357 QUEEN,Turret Press,Set Up
433787,2021-07-28,ventilation,24,1,10,357 QUEEN,Turret Press,Maintenance
433788,2021-07-28,ventilation,24,1,10,357 QUEEN,Turret Press,Set Up
433789,2021-07-28,ventilation,24,1,5,357 QUEEN,Turret Press,Set Up
433790,2021-07-28,ventilation,24,1,15,357 QUEEN,Turret Press,Operator PM
433791,2021-07-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
433792,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
433793,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
433794,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Load Material
433795,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
433796,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Load Material
433797,2021-07-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
433798,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
433799,2021-07-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
433800,2021-07-28,ventilation,35,1,10,PULSAR 2415 LASER,Laser,Set Up
433801,2021-07-28,ventilation,35,1,5,PULSAR 2415 LASER,Laser,Set Up
433802,2021-07-28,ventilation,35,1,15,PULSAR 2415 LASER,Laser,Operator PM
433803,2021-07-28,ventilation,40,1,10,357 QUEEN,Turret Press,Set Up
433804,2021-07-28,ventilation,40,1,10,357 QUEEN,Turret Press,Set Up
433805,2021-07-28,ventilation,40,1,15,357 QUEEN,Turret Press,Set Up
433806,2021-07-28,ventilation,40,1,20,357 QUEEN,Turret Press,Load Material
433807,2021-07-28,ventilation,40,1,5,357 QUEEN,Turret Press,Set Up
433808,2021-07-28,ventilation,40,1,15,357 QUEEN,Turret Press,Tool Change(dull)
433809,2021-07-28,ventilation,40,1,10,357 QUEEN,Turret Press,Set Up
433810,2021-07-28,ventilation,40,1,15,357 QUEEN,Turret Press,Operator PM
433811,2021-07-28,ventilation,45,1,20,150 TON PRESS,Stamping Press,Operator PM
433812,2021-07-28,ventilation,45,1,10,150 TON PRESS,Stamping Press,Set Up
433813,2021-07-28,ventilation,57,1,15,KUHLMEYER SANDER,Sander,Operator PM
433814,2021-07-28,ventilation,59,1,15,KUHLMEYER SANDER,Sander,Operator PM
433815,2021-07-28,ventilation,60,1,10,LORS SPOTWELDER,Spotwelder,Set Up
433816,2021-07-28,ventilation,60,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
433817,2021-07-28,ventilation,62,1,15,G & P SANDER,Sander,Operator PM
433818,2021-07-28,ventilation,68,1,120,FBD8025E PRESS BRAKE,Press Brake,No Operator
433819,2021-07-28,ventilation,68,1,15,FBD8025E PRESS BRAKE,Press Brake,Set Up
433820,2021-07-28,ventilation,68,1,10,FBD8025E PRESS BRAKE,Press Brake,Set Up
433821,2021-07-28,ventilation,68,1,60,FBD8025E PRESS BRAKE,Press Brake,No Operator
433822,2021-07-28,ventilation,68,1,5,FBD8025E PRESS BRAKE,Press Brake,Set Up
433823,2021-07-28,ventilation,68,1,15,FBD8025E PRESS BRAKE,Press Brake,Operator PM
433824,2021-07-28,ventilation,71,1,8,FBD8025E PRESS BRAKE,Press Brake,Set Up
433825,2021-07-28,ventilation,71,1,10,FBD8025E PRESS BRAKE,Press Brake,Operator PM
433826,2021-07-28,ventilation,74,1,15,HFB8025 PRESS BRAKE,Press Brake,Set Up
433827,2021-07-28,ventilation,74,1,15,HFB8025 PRESS BRAKE,Press Brake,Operator PM
433828,2021-07-28,ventilation,74,1,465,HFB8025 PRESS BRAKE,Press Brake,No Operator
433829,2021-07-28,ventilation,77,1,6,FBD8025NT PRESS BRAKE,Press Brake,Set Up
433830,2021-07-28,ventilation,77,1,4,FBD8025NT PRESS BRAKE,Press Brake,Maintenance
433831,2021-07-28,ventilation,77,1,4,FBD8025NT PRESS BRAKE,Press Brake,Set Up
433832,2021-07-28,ventilation,77,1,4,FBD8025NT PRESS BRAKE,Press Brake,Maintenance
433833,2021-07-28,ventilation,77,1,6,FBD8025NT PRESS BRAKE,Press Brake,Set Up
433834,2021-07-28,ventilation,77,1,6,FBD8025NT PRESS BRAKE,Press Brake,Set Up
433835,2021-07-28,ventilation,77,1,5,FBD8025NT PRESS BRAKE,Press Brake,Operator PM
433836,2021-07-28,ventilation,83,1,60,RAS FLEXIBEND,Custom,No Operator
433837,2021-07-28,ventilation,83,1,10,RAS FLEXIBEND,Custom,Set Up
433838,2021-07-28,ventilation,83,1,390,RAS FLEXIBEND,Custom,No Operator
433839,2021-07-28,ventilation,83,1,15,RAS FLEXIBEND,Custom,Operator PM
433840,2021-07-28,ventilation,102,1,20,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
433841,2021-07-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Tool Change(special)
433842,2021-07-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
433843,2021-07-28,ventilation,102,1,10,APELIO PUNCH\LASER COMBO,Turret Press,Set Up
433844,2021-07-28,ventilation,102,1,5,APELIO PUNCH\LASER COMBO,Turret Press,Sheet Crash
433845,2021-07-28,ventilation,102,1,15,APELIO PUNCH\LASER COMBO,Turret Press,Operator PM
433846,2021-07-28,ventilation,107,1,64,HDS 8025NT,Press Brake,Set Up
433847,2021-07-28,ventilation,107,1,10,HDS 8025NT,Press Brake,Operator PM
433848,2021-07-28,ventilation,112,1,15,Tool Crib,Tool sharpener,Operator PM
433849,2021-07-28,ventilation,112,1,120,Tool Crib,Tool sharpener,No Operator
433850,2021-07-28,ventilation,113,1,15,Tool Crib,Tool sharpener,Operator PM
433851,2021-07-28,ventilation,113,1,90,Tool Crib,Tool sharpener,No Operator
433852,2021-07-28,ventilation,115,1,15,Welder,Welder,Set Up
433853,2021-07-28,ventilation,115,1,15,Welder,Welder,Operator PM
433854,2021-07-28,ventilation,126,1,30,MILLER WELDER,Welder,Operator PM
433855,2021-07-28,ventilation,123,1,30,MILLER WELDER,Welder,Operator PM
