id,day,plant,machine_id,shift,dt,description,category,reason_code
357672,2021-01-09,cooking,32,1,20,TOGU,Tool sharpener,Operator PM
357674,2021-01-09,cooking,36,1,20,TOGU,Tool sharpener,Operator PM
357676,2021-01-09,cooking,49,1,22,TOGU,Tool sharpener,Operator PM
357678,2021-01-09,cooking,48,1,480,Timersaver,Sander,No Operator
357679,2021-01-09,cooking,1,1,15,Amada Shear,Shear,Set Up
357681,2021-01-09,cooking,1,1,15,Amada Shear,Shear,Operator PM
357682,2021-01-09,cooking,87,1,10,Amada Vipros 255,Turret Press,Set Up
357683,2021-01-09,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Change(dull)
357684,2021-01-09,cooking,87,1,10,Amada Vipros 255,Turret Press,Tool Change(dull)
357685,2021-01-09,cooking,87,1,55,Amada Vipros 255,Turret Press,Maintenance
357687,2021-01-09,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
357688,2021-01-09,cooking,87,1,2,Amada Vipros 255,Turret Press,Set Up
357689,2021-01-09,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Change(dull)
357691,2021-01-09,cooking,87,1,7,Amada Vipros 255,Turret Press,Set Up
357692,2021-01-09,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
357693,2021-01-09,cooking,87,1,5,Amada Vipros 255,Turret Press,Operator PM
357694,2021-01-09,cooking,146,1,15,Amada Vipros 255,Turret Press,Set Up
357695,2021-01-09,cooking,146,1,19,Amada Vipros 255,Turret Press,Tool Change(dull)
357696,2021-01-09,cooking,146,1,3,Amada Vipros 255,Turret Press,Set Up
357697,2021-01-09,cooking,146,1,1,Amada Vipros 255,Turret Press,Set Up
357698,2021-01-09,cooking,146,1,4,Amada Vipros 255,Turret Press,Set Up
357699,2021-01-09,cooking,146,1,3,Amada Vipros 255,Turret Press,Set Up
357700,2021-01-09,cooking,146,1,9,Amada Vipros 255,Turret Press,Set Up
357702,2021-01-09,cooking,146,1,4,Amada Vipros 255,Turret Press,Set Up
357703,2021-01-09,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
357704,2021-01-09,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
357705,2021-01-09,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
357706,2021-01-09,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
