id,day,plant,machine_id,shift,dt,description,category,reason_code
261902,2020-04-02,cooking,87,1,4,Amada Vipros 255,Turret Press,Set Up
261903,2020-04-02,cooking,87,1,10,Amada Vipros 255,Turret Press,Tool Change(dull)
261904,2020-04-02,cooking,87,1,11,Amada Vipros 255,Turret Press,Tool Crib
261905,2020-04-02,cooking,87,1,8,Amada Vipros 255,Turret Press,Set Up
261906,2020-04-02,cooking,87,1,2,Amada Vipros 255,Turret Press,Tool Change(dull)
261907,2020-04-02,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Crib
261908,2020-04-02,cooking,87,1,3,Amada Vipros 255,Turret Press,Tool Change(dull)
261909,2020-04-02,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Crib
261911,2020-04-02,cooking,87,1,2,Amada Vipros 255,Turret Press,Set Up
261912,2020-04-02,cooking,87,1,1,Amada Vipros 255,Turret Press,Set Up
261913,2020-04-02,cooking,87,1,2,Amada Vipros 255,Turret Press,Tool Change(dull)
261914,2020-04-02,cooking,87,1,8,Amada Vipros 255,Turret Press,Tool Crib
261915,2020-04-02,cooking,87,1,2,Amada Vipros 255,Turret Press,Set Up
261916,2020-04-02,cooking,87,1,2,Amada Vipros 255,Turret Press,Set Up
261917,2020-04-02,cooking,87,1,10,Amada Vipros 255,Turret Press,Set Up
261918,2020-04-02,cooking,87,1,6,Amada Vipros 255,Turret Press,Set Up
261920,2020-04-02,cooking,87,1,1,Amada Vipros 255,Turret Press,Set Up
261921,2020-04-02,cooking,87,1,15,Amada Vipros 255,Turret Press,Operator PM
261922,2020-04-02,cooking,103,1,30,Amada LC3015 Theta Laser,Laser,Set Up
261923,2020-04-02,cooking,103,1,30,Amada LC3015 Theta Laser,Laser,Operator PM
261924,2020-04-02,cooking,103,1,5,Amada LC3015 Theta Laser,Laser,Operator PM
261925,2020-04-02,cooking,103,1,240,Amada LC3015 Theta Laser,Laser,No Operator
261926,2020-04-02,cooking,121,1,9,Amada Vipros 255,Turret Press,Set Up
261927,2020-04-02,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
261928,2020-04-02,cooking,121,1,6,Amada Vipros 255,Turret Press,Set Up
261930,2020-04-02,cooking,121,1,4,Amada Vipros 255,Turret Press,Set Up
261931,2020-04-02,cooking,121,1,6,Amada Vipros 255,Turret Press,Set Up
261932,2020-04-02,cooking,121,1,59,Amada Vipros 255,Turret Press,Maintenance
261933,2020-04-02,cooking,121,1,4,Amada Vipros 255,Turret Press,Set Up
261934,2020-04-02,cooking,121,1,10,Amada Vipros 255,Turret Press,Set Up
261935,2020-04-02,cooking,121,1,15,Amada Vipros 255,Turret Press,Operator PM
261936,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Operator PM
261937,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261938,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261939,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261940,2020-04-02,cooking,146,1,8,Amada Vipros 255,Turret Press,Tool Crib
261942,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261943,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261944,2020-04-02,cooking,146,1,8,Amada Vipros 255,Turret Press,Tool Crib
261945,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
261946,2020-04-02,cooking,146,1,5,Amada Vipros 255,Turret Press,Tool Crib
261948,2020-04-02,cooking,146,1,10,Amada Vipros 255,Turret Press,Maintenance
261949,2020-04-02,cooking,146,1,8,Amada Vipros 255,Turret Press,Set Up
261950,2020-04-02,cooking,146,1,10,Amada Vipros 255,Turret Press,Operator PM
