id,day,plant,machine_id,shift,dt,description,category,reason_code
431071,2021-07-22,cooking,26,1,20,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431072,2021-07-22,cooking,26,1,20,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431073,2021-07-22,cooking,26,1,20,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431074,2021-07-22,cooking,26,1,10,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431075,2021-07-22,cooking,26,1,10,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431076,2021-07-22,cooking,26,1,10,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
431077,2021-07-22,cooking,157,1,10,Amada 2KW Laser,Laser,Operator PM
431078,2021-07-22,cooking,55,1,10,Amada 6KW LASER (ENSIS 3015 AJ),Laser,Operator PM
431081,2021-07-22,cooking,15,1,5,Amada FO3015NT  Laser,Laser,Operator PM
431082,2021-07-22,cooking,155,1,480,Amada Gemini Laser,Laser,Maintenance
431083,2021-07-22,cooking,155,1,10,Amada Gemini Laser,Laser,Operator PM
431084,2021-07-22,cooking,103,1,480,Amada LC3015 Theta Laser,Laser,Maintenance
431085,2021-07-22,cooking,103,1,10,Amada LC3015 Theta Laser,Laser,Operator PM
431086,2021-07-22,cooking,5,1,20,Amada Vipros 358 King,Turret Press,Set Up
431087,2021-07-22,cooking,5,1,20,Amada Vipros 358 King,Turret Press,Set Up
431088,2021-07-22,cooking,5,1,10,Amada Vipros 358 King,Turret Press,Set Up
431089,2021-07-22,cooking,5,1,15,Amada Vipros 358 King,Turret Press,Operator PM
431090,2021-07-22,cooking,22,1,10,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431091,2021-07-22,cooking,22,1,5,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431092,2021-07-22,cooking,22,1,20,Amada EMK3610NT Punching Cell,Turret Press,Maintenance
431093,2021-07-22,cooking,22,1,15,Amada EMK3610NT Punching Cell,Turret Press,Set Up
431094,2021-07-22,cooking,22,1,15,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
431095,2021-07-22,cooking,34,1,15,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
431099,2021-07-22,cooking,89,1,30,Amada FBD 8025 Press Brake,Press Brake,Operator PM
431100,2021-07-22,cooking,72,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
431104,2021-07-22,cooking,93,1,180,Amada FBD 8025 Press Brake,Press Brake,Maintenance
431105,2021-07-22,cooking,93,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
431108,2021-07-22,cooking,105,1,10,Amada RG-50 Press Brake,Press Brake,Operator PM
431111,2021-07-22,cooking,89,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
431114,2021-07-22,cooking,118,1,10,Amada RG-80 Press Brake,Press Brake,Operator PM
431118,2021-07-22,cooking,82,1,5,Press Brake,Press Brake,Operator PM
431119,2021-07-22,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
431120,2021-07-22,cooking,146,1,3,Amada Vipros 255,Turret Press,Tool Change(dull)
431121,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Tool Crib
431122,2021-07-22,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
431124,2021-07-22,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
431125,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Operator PM
431126,2021-07-22,cooking,146,1,6,Amada Vipros 255,Turret Press,Tool Change(dull)
431127,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Tool Crib
431128,2021-07-22,cooking,146,1,9,Amada Vipros 255,Turret Press,Set Up
431129,2021-07-22,cooking,146,1,7,Amada Vipros 255,Turret Press,Set Up
431130,2021-07-22,cooking,146,1,5,Amada Vipros 255,Turret Press,Tool Change(dull)
431131,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Tool Crib
431132,2021-07-22,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
431133,2021-07-22,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
431134,2021-07-22,cooking,146,1,3,Amada Vipros 255,Turret Press,Set Up
431136,2021-07-22,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
431137,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Set Up
431138,2021-07-22,cooking,146,1,10,Amada Vipros 255,Turret Press,Set Up
431139,2021-07-22,cooking,146,1,4,Amada Vipros 255,Turret Press,Set Up
431140,2021-07-22,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
431141,2021-07-22,cooking,146,1,1,Amada Vipros 255,Turret Press,Set Up
431142,2021-07-22,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
431143,2021-07-22,cooking,146,1,8,Amada Vipros 255,Turret Press,Set Up
431144,2021-07-22,cooking,121,1,8,Amada Vipros 255,Turret Press,Set Up
431145,2021-07-22,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
431146,2021-07-22,cooking,121,1,440,Amada Vipros 255,Turret Press,No Operator
431148,2021-07-22,cooking,87,1,15,Amada Vipros 255,Turret Press,Set Up
431149,2021-07-22,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
431150,2021-07-22,cooking,87,1,10,Amada Vipros 255,Turret Press,Operator PM
431151,2021-07-22,cooking,9,1,4,Amada Vipros 255,Turret Press,Set Up
431152,2021-07-22,cooking,9,1,4,Amada Vipros 255,Turret Press,Move to another machine
431153,2021-07-22,cooking,87,1,4,Amada Vipros 255,Turret Press,Set Up
431154,2021-07-22,cooking,87,1,6,Amada Vipros 255,Turret Press,Tool Change(dull)
431156,2021-07-22,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
431157,2021-07-22,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
431159,2021-07-22,cooking,87,1,10,Amada Vipros 255,Turret Press,Set Up
431160,2021-07-22,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
431161,2021-07-22,cooking,87,1,4,Amada Vipros 255,Turret Press,Set Up
431162,2021-07-22,cooking,87,1,10,Amada Vipros 255,Turret Press,Set Up
431164,2021-07-22,cooking,87,1,30,Amada Vipros 255,Turret Press,Set Up
431165,2021-07-22,cooking,87,1,18,Amada Vipros 255,Turret Press,Set Up
431167,2021-07-22,cooking,87,1,4,Amada Vipros 255,Turret Press,Operator PM
431168,2021-07-22,cooking,1,1,15,Amada Shear,Shear,Set Up
431173,2021-07-22,cooking,1,1,10,Amada Shear,Shear,Operator PM
431175,2021-07-22,cooking,95,2,5,Amada FBD 8025 Press Brake,Press Brake,Set Up
431176,2021-07-22,cooking,95,2,10,Amada FBD 8025 Press Brake,Press Brake,Move to another machine
431177,2021-07-22,cooking,53,2,2,Amada ATC Press Brake,Press Brake,Set Up
431179,2021-07-22,cooking,53,2,4,Amada ATC Press Brake,Press Brake,Set Up
431180,2021-07-22,cooking,53,2,2,Amada ATC Press Brake,Press Brake,Set Up
431181,2021-07-22,cooking,53,2,2,Amada ATC Press Brake,Press Brake,Set Up
431183,2021-07-22,cooking,53,2,20,Amada ATC Press Brake,Press Brake,Operator PM
431184,2021-07-22,cooking,53,1,5,Amada ATC Press Brake,Press Brake,Set Up
431185,2021-07-22,cooking,53,1,2,Amada ATC Press Brake,Press Brake,Set Up
431187,2021-07-22,cooking,53,1,3,Amada ATC Press Brake,Press Brake,Set Up
431188,2021-07-22,cooking,53,1,2,Amada ATC Press Brake,Press Brake,Set Up
431190,2021-07-22,cooking,53,1,12,Amada ATC Press Brake,Press Brake,Set Up
431192,2021-07-22,cooking,53,1,30,Amada ATC Press Brake,Press Brake,Maintenance
