id,day,plant,machine_id,shift,dt,description,category,reason_code
390616,2021-04-10,cooking,32,1,20,TOGU,Tool sharpener,Operator PM
390620,2021-04-10,cooking,49,1,22,TOGU,Tool sharpener,Operator PM
390622,2021-04-10,cooking,48,1,480,Timersaver,Sander,No Operator
390623,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Set Up
390624,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Tool Other
390625,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Load Material
390626,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Set Up
390627,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Tool Other
390628,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Set Up
390629,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Tool Other
390630,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Set Up
390631,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Tool Change(dull)
390632,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Tool Crib
390633,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Clamp Failure
390634,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Set Up
390635,2021-04-10,cooking,51,1,5,Amada Vipros 357 Queen,Turret Press,Tool Change(dull)
390636,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Tool Crib
390637,2021-04-10,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Operator PM
390638,2021-04-10,cooking,26,1,25,Amada EMK3610NT Punching Cell,Turret Press,Set Up
390639,2021-04-10,cooking,26,1,20,Amada EMK3610NT Punching Cell,Turret Press,Set Up
390640,2021-04-10,cooking,26,1,20,Amada EMK3610NT Punching Cell,Turret Press,Set Up
390641,2021-04-10,cooking,26,1,15,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
390644,2021-04-10,cooking,5,1,480,Amada Vipros 358 King,Turret Press,No Operator
390645,2021-04-10,cooking,34,1,480,Amada EMK3610NT Punching Cell,Turret Press,No Operator
390646,2021-04-10,cooking,22,1,480,Amada EMK3610NT Punching Cell,Turret Press,No Operator
390648,2021-04-10,cooking,10,1,10,G & P SANDER,Sander,Operator PM
390651,2021-04-10,cooking,64,1,480,Etcher,Etcher,No Operator
390652,2021-04-10,cooking,64,1,5,Etcher,Etcher,Operator PM
390653,2021-04-10,cooking,65,1,480,Grizzly Sander,Sander,No Operator
390654,2021-04-10,cooking,65,1,5,Grizzly Sander,Sander,Operator PM
390655,2021-04-10,cooking,114,1,480,Amada Vipros 255,Turret Press,No Operator
390656,2021-04-10,cooking,114,1,5,Amada Vipros 255,Turret Press,Operator PM
390657,2021-04-10,cooking,135,1,480,Amada HDS 8025 NT Press Brake,Press Brake,No Operator
390658,2021-04-10,cooking,135,1,5,Amada HDS 8025 NT Press Brake,Press Brake,Operator PM
390659,2021-04-10,cooking,92,1,480,Amada FBD 8025 NT Press Brake,Press Brake,No Operator
390660,2021-04-10,cooking,92,1,5,Amada FBD 8025 NT Press Brake,Press Brake,Operator PM
390661,2021-04-10,cooking,160,1,480,Woodtek,Sander,No Operator
390662,2021-04-10,cooking,160,1,5,Woodtek,Sander,Operator PM
390663,2021-04-10,cooking,25,1,480,Guifil Press Brake,Press Brake,No Operator
390664,2021-04-10,cooking,25,1,5,Guifil Press Brake,Press Brake,Operator PM
390665,2021-04-10,cooking,29,1,480,Grizzly  Sander,Sander,No Operator
390666,2021-04-10,cooking,29,1,5,Grizzly  Sander,Sander,Operator PM
390669,2021-04-10,cooking,16,1,30,Welder,Welder,Operator PM
390671,2021-04-10,cooking,145,1,10,Woodtek Sander,Sander,Operator PM
390673,2021-04-10,cooking,2,1,10,Etcher,Etcher,Operator PM
390675,2021-04-10,cooking,46,1,10,Etcher,Etcher,Operator PM
390677,2021-04-10,cooking,163,1,15,Kuhlmeyer Sander,Sander,Operator PM
390679,2021-04-10,cooking,147,1,15,Welder,Welder,Operator PM
390681,2021-04-10,cooking,11,1,15,Welder,Welder,Operator PM
390683,2021-04-10,cooking,31,1,15,Welder,Welder,Operator PM
390685,2021-04-10,cooking,148,1,15,Welder,Welder,Operator PM
390686,2021-04-10,cooking,157,1,480,Amada 2KW Laser,Laser,No Operator
390687,2021-04-10,cooking,155,1,15,Amada Gemini Laser,Laser,Set Up
390690,2021-04-10,cooking,155,1,15,Amada Gemini Laser,Laser,Operator PM
390691,2021-04-10,cooking,15,1,10,Amada FO3015NT  Laser,Laser,Operator PM
390692,2021-04-10,cooking,103,1,420,Amada LC3015 Theta Laser,Laser,No Operator
390694,2021-04-10,cooking,105,1,10,Amada RG-50 Press Brake,Press Brake,Operator PM
390696,2021-04-10,cooking,118,1,10,Amada RG-80 Press Brake,Press Brake,Operator PM
390698,2021-04-10,cooking,66,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
390703,2021-04-10,cooking,93,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
390706,2021-04-10,cooking,72,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
390710,2021-04-10,cooking,89,1,10,Amada FBD 8025 Press Brake,Press Brake,Operator PM
390711,2021-04-10,cooking,87,1,2,Amada Vipros 255,Turret Press,Set Up
390712,2021-04-10,cooking,87,1,10,Amada Vipros 255,Turret Press,Tool Other
390713,2021-04-10,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
390714,2021-04-10,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Change(dull)
390715,2021-04-10,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
390718,2021-04-10,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
