id,day,plant,machine_id,shift,dt,description,category,reason_code
231063,2020-01-17,cooking,1,1,15,Amada Shear,Shear,Set Up
231068,2020-01-17,cooking,1,1,15,Amada Shear,Shear,Operator PM
231069,2020-01-17,cooking,87,1,1,Amada Vipros 255,Turret Press,Set Up
231070,2020-01-17,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
231071,2020-01-17,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
231072,2020-01-17,cooking,87,1,6,Amada Vipros 255,Turret Press,Set Up
231074,2020-01-17,cooking,87,1,3,Amada Vipros 255,Turret Press,Set Up
231075,2020-01-17,cooking,87,1,15,Amada Vipros 255,Turret Press,Operator PM
231076,2020-01-17,cooking,87,1,9,Amada Vipros 255,Turret Press,Set Up
231077,2020-01-17,cooking,87,1,12,Amada Vipros 255,Turret Press,Set Up
231078,2020-01-17,cooking,87,1,4,Amada Vipros 255,Turret Press,Set Up
231079,2020-01-17,cooking,87,1,8,Amada Vipros 255,Turret Press,Set Up
231080,2020-01-17,cooking,87,1,4,Amada Vipros 255,Turret Press,Set Up
231082,2020-01-17,cooking,87,1,5,Amada Vipros 255,Turret Press,Set Up
231083,2020-01-17,cooking,87,1,4,Amada Vipros 255,Turret Press,Tool Change(dull)
231084,2020-01-17,cooking,87,1,5,Amada Vipros 255,Turret Press,Tool Crib
231085,2020-01-17,cooking,87,1,45,Amada Vipros 255,Turret Press,Maintenance
231086,2020-01-17,cooking,103,1,30,Amada LC3015 Theta Laser,Laser,Set Up
231087,2020-01-17,cooking,103,1,60,Amada LC3015 Theta Laser,Laser,Set Up
231088,2020-01-17,cooking,121,1,15,Amada Vipros 255,Turret Press,Set Up
231089,2020-01-17,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
231090,2020-01-17,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
231091,2020-01-17,cooking,121,1,6,Amada Vipros 255,Turret Press,Set Up
231092,2020-01-17,cooking,121,1,7,Amada Vipros 255,Turret Press,Set Up
231093,2020-01-17,cooking,121,1,4,Amada Vipros 255,Turret Press,Set Up
231095,2020-01-17,cooking,121,1,5,Amada Vipros 255,Turret Press,Set Up
231096,2020-01-17,cooking,121,1,7,Amada Vipros 255,Turret Press,Set Up
231098,2020-01-17,cooking,121,1,10,Amada Vipros 255,Turret Press,Operator PM
231099,2020-01-17,cooking,146,1,2,Amada Vipros 255,Turret Press,Tool Change(dull)
231100,2020-01-17,cooking,146,1,10,Amada Vipros 255,Turret Press,Tool Crib
231101,2020-01-17,cooking,146,1,13,Amada Vipros 255,Turret Press,Set Up
231102,2020-01-17,cooking,146,1,15,Amada Vipros 255,Turret Press,No Work
231103,2020-01-17,cooking,146,1,15,Amada Vipros 255,Turret Press,Operator PM
231104,2020-01-17,cooking,146,1,8,Amada Vipros 255,Turret Press,Set Up
231105,2020-01-17,cooking,146,1,8,Amada Vipros 255,Turret Press,Set Up
231106,2020-01-17,cooking,146,1,5,Amada Vipros 255,Turret Press,Set Up
231107,2020-01-17,cooking,146,1,2,Amada Vipros 255,Turret Press,Set Up
231108,2020-01-17,cooking,146,1,3,Amada Vipros 255,Turret Press,Set Up
231109,2020-01-17,cooking,146,1,3,Amada Vipros 255,Turret Press,Set Up
231110,2020-01-17,cooking,146,1,4,Amada Vipros 255,Turret Press,Set Up
231111,2020-01-17,cooking,146,1,6,Amada Vipros 255,Turret Press,Set Up
231112,2020-01-17,cooking,146,1,14,Amada Vipros 255,Turret Press,Operator PM
231114,2020-01-17,cooking,157,1,5,Amada 2KW Laser,Laser,Operator PM
231115,2020-01-17,cooking,22,1,10,Amada EMK3610NT Punching Cell,Turret Press,Set Up
231116,2020-01-17,cooking,22,1,15,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
231117,2020-01-17,cooking,34,1,30,Amada EMK3610NT Punching Cell,Turret Press,Set Up
231118,2020-01-17,cooking,34,1,15,Amada EMK3610NT Punching Cell,Turret Press,Set Up
231119,2020-01-17,cooking,34,1,15,Amada EMK3610NT Punching Cell,Turret Press,Operator PM
231120,2020-01-17,cooking,38,1,5,Amada Vipros 357,Turret Press,Set Up
231122,2020-01-17,cooking,38,1,7,Amada Vipros 357,Turret Press,Set Up
231123,2020-01-17,cooking,38,1,8,Amada Vipros 357,Turret Press,Set Up
231124,2020-01-17,cooking,38,1,10,Amada Vipros 357,Turret Press,Set Up
231125,2020-01-17,cooking,38,1,10,Amada Vipros 357,Turret Press,Load Material
231128,2020-01-17,cooking,38,1,15,Amada Vipros 357,Turret Press,Operator PM
231131,2020-01-17,cooking,48,1,20,Timersaver,Sander,Operator PM
231132,2020-01-17,cooking,48,1,60,Timersaver,Sander,No Operator
231133,2020-01-17,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Set Up
231134,2020-01-17,cooking,51,1,10,Amada Vipros 357 Queen,Turret Press,Tool Crib
