145638,,"C",17.00,2,10,8
199205,,,,,,
203547,,,,0,0,0
225121,1/2/2020 0:00:00,"C",1.00,1,15,8
225122,1/2/2020 0:00:00,"C",1.00,1,120,17
225123,1/2/2020 0:00:00,"C",1.00,1,10,17
225124,1/2/2020 0:00:00,"C",1.00,1,155,17
225125,1/2/2020 0:00:00,"C",1.00,1,105,17
225126,1/2/2020 0:00:00,"C",1.00,1,50,17
225127,1/2/2020 0:00:00,"C",1.00,1,10,17
225128,1/2/2020 0:00:00,"C",1.00,1,15,19
225129,1/2/2020 0:00:00,"C",4.00,1,20,8
225130,1/2/2020 0:00:00,"C",4.00,1,8,8
225131,1/2/2020 0:00:00,"C",4.00,1,4,8
225132,1/2/2020 0:00:00,"C",4.00,1,3,8
225133,1/2/2020 0:00:00,"C",4.00,1,10,17
225134,1/2/2020 0:00:00,"C",4.00,1,8,8
225135,1/2/2020 0:00:00,"C",4.00,1,10,8
225136,1/2/2020 0:00:00,"C",4.00,1,5,8
225137,1/2/2020 0:00:00,"C",4.00,1,3,8
225138,1/2/2020 0:00:00,"C",4.00,1,14,8
225139,1/2/2020 0:00:00,"C",4.00,1,10,9
225140,1/2/2020 0:00:00,"C",4.00,1,8,8
225141,1/2/2020 0:00:00,"C",4.00,1,20,8
225142,1/2/2020 0:00:00,"C",4.00,1,10,8
225143,1/2/2020 0:00:00,"C",4.00,1,10,17
225144,1/2/2020 0:00:00,"C",4.00,1,10,8
225145,1/2/2020 0:00:00,"C",4.00,1,6,8
225146,1/2/2020 0:00:00,"C",4.00,1,15,19
225147,1/2/2020 0:00:00,"C",5.00,1,120,17
225148,1/2/2020 0:00:00,"C",5.00,1,15,8
225149,1/2/2020 0:00:00,"C",5.00,1,10,17
225150,1/2/2020 0:00:00,"C",5.00,1,170,17
225151,1/2/2020 0:00:00,"C",5.00,1,10,19
225152,1/2/2020 0:00:00,"C",6.00,1,8,8
225153,1/2/2020 0:00:00,"C",6.00,1,24,9
225154,1/2/2020 0:00:00,"C",6.00,1,7,8
225155,1/2/2020 0:00:00,"C",6.00,1,10,17
225156,1/2/2020 0:00:00,"C",6.00,1,6,8
225157,1/2/2020 0:00:00,"C",6.00,1,4,8
225158,1/2/2020 0:00:00,"C",6.00,1,6,8
225159,1/2/2020 0:00:00,"C",6.00,1,5,8
225160,1/2/2020 0:00:00,"C",6.00,1,10,17
225161,1/2/2020 0:00:00,"C",6.00,1,10,19
225162,1/2/2020 0:00:00,"C",8.00,1,5,8
