id,day,plant,machine_id,shift,dt,description,category,reason_code
370469,2021-02-08,refrigeration,119,1,30,Amada RG-80 Press Brake,Press Brake,Set Up
370470,2021-02-08,refrigeration,119,1,25,Amada RG-80 Press Brake,Press Brake,Set Up
370471,2021-02-08,refrigeration,119,1,20,Amada RG-80 Press Brake,Press Brake,Set Up
370472,2021-02-08,refrigeration,119,1,10,Amada RG-80 Press Brake,Press Brake,Set Up
370473,2021-02-08,refrigeration,119,1,10,Amada RG-80 Press Brake,Press Brake,Operator PM
370474,2021-02-08,refrigeration,101,1,480,LORS SPOTWELDER,Spotwelder,No Work
370475,2021-02-08,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
370477,2021-02-08,refrigeration,96,1,15,LORS SPOTWELDER,Spotwelder,Set Up
370478,2021-02-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
370479,2021-02-08,refrigeration,96,1,15,LORS SPOTWELDER,Spotwelder,No Work
370481,2021-02-08,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
370482,2021-02-08,refrigeration,98,1,5,LORS SPOTWELDER,Spotwelder,Set Up
370483,2021-02-08,refrigeration,98,1,30,LORS SPOTWELDER,Spotwelder,Set Up
370484,2021-02-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Maintenance
370485,2021-02-08,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,No Work
370486,2021-02-08,refrigeration,70,1,480,H&H J-FLANGE FORMER,Custom,No Work
370487,2021-02-08,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
370488,2021-02-08,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,Set Up
370489,2021-02-08,refrigeration,61,1,4,AMADA VIPROS 255,Turret Press,No Operator
370490,2021-02-08,refrigeration,61,1,8,AMADA VIPROS 255,Turret Press,Tool Change(special)
370491,2021-02-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
370492,2021-02-08,refrigeration,61,1,5,AMADA VIPROS 255,Turret Press,Set Up
370493,2021-02-08,refrigeration,61,1,5,AMADA VIPROS 255,Turret Press,No Operator
370494,2021-02-08,refrigeration,61,1,5,AMADA VIPROS 255,Turret Press,Set Up
370495,2021-02-08,refrigeration,61,1,5,AMADA VIPROS 255,Turret Press,Set Up
370496,2021-02-08,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,No Operator
370497,2021-02-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
370498,2021-02-08,refrigeration,61,1,8,AMADA VIPROS 255,Turret Press,Set Up
370499,2021-02-08,refrigeration,61,1,28,AMADA VIPROS 255,Turret Press,Operator PM
370500,2021-02-08,refrigeration,58,1,2,AMADA VIPROS 358 KING,Turret Press,Set Up
370501,2021-02-08,refrigeration,58,1,2,AMADA VIPROS 358 KING,Turret Press,Set Up
370502,2021-02-08,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
370503,2021-02-08,refrigeration,58,1,3,AMADA VIPROS 358 KING,Turret Press,Set Up
370504,2021-02-08,refrigeration,58,1,2,AMADA VIPROS 358 KING,Turret Press,Set Up
370505,2021-02-08,refrigeration,58,1,30,AMADA VIPROS 358 KING,Turret Press,Operator PM
370507,2021-02-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
370508,2021-02-08,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
370509,2021-02-08,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
370510,2021-02-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
370513,2021-02-08,refrigeration,56,1,15,AMADA RG-50 PRESS BRAKE,Press Brake,Operator PM
370515,2021-02-08,refrigeration,54,1,9,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
370516,2021-02-08,refrigeration,54,1,7,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
370517,2021-02-08,refrigeration,54,1,9,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
370518,2021-02-08,refrigeration,54,1,13,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
370519,2021-02-08,refrigeration,54,1,15,AMADA HFE 8025S PRESS BRAKE,Press Brake,Operator PM
370521,2021-02-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
370522,2021-02-08,refrigeration,52,1,60,CINCINNATI PRESS BRAKE,Press Brake,No Work
370524,2021-02-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
370525,2021-02-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
370526,2021-02-08,refrigeration,52,1,10,CINCINNATI PRESS BRAKE,Press Brake,Set Up
370528,2021-02-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Operator PM
370529,2021-02-08,refrigeration,50,1,5,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
370531,2021-02-08,refrigeration,50,1,7,AMADA VIPROS 357 QUEEN,Turret Press,Tool Change(dull)
370532,2021-02-08,refrigeration,50,1,10,AMADA VIPROS 357 QUEEN,Turret Press,Tool Other
370533,2021-02-08,refrigeration,50,1,2,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
370534,2021-02-08,refrigeration,50,1,5,AMADA VIPROS 357 QUEEN,Turret Press,Load Material
370535,2021-02-08,refrigeration,50,1,4,AMADA VIPROS 357 QUEEN,Turret Press,Tool Change(dull)
370536,2021-02-08,refrigeration,50,1,4,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
370538,2021-02-08,refrigeration,50,1,6,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
370539,2021-02-08,refrigeration,50,1,6,AMADA VIPROS 357 QUEEN,Turret Press,Load Material
370540,2021-02-08,refrigeration,50,1,15,AMADA VIPROS 357 QUEEN,Turret Press,Operator PM
370541,2021-02-08,refrigeration,42,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370542,2021-02-08,refrigeration,42,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370545,2021-02-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
370546,2021-02-08,refrigeration,104,1,5,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
370548,2021-02-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370549,2021-02-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370550,2021-02-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370551,2021-02-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370552,2021-02-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
370553,2021-02-08,refrigeration,39,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
370554,2021-02-08,refrigeration,7,1,9,AMADA VIPROS 358 KING,Turret Press,Set Up
370555,2021-02-08,refrigeration,7,1,9,AMADA VIPROS 358 KING,Turret Press,Set Up
370556,2021-02-08,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
370557,2021-02-08,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
370558,2021-02-08,refrigeration,7,1,30,AMADA VIPROS 358 KING,Turret Press,Operator PM
370559,2021-02-08,refrigeration,3,1,480,TOMAN TOOL HEAT STAKER,Custom,No Work
370560,2021-02-08,refrigeration,3,1,20,TOMAN TOOL HEAT STAKER,Custom,Operator PM
370561,2021-02-08,refrigeration,136,1,15,AMADA VIPROS 255,Turret Press,No Operator
370562,2021-02-08,refrigeration,136,1,5,AMADA VIPROS 255,Turret Press,Set Up
370563,2021-02-08,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Tool Change(special)
370564,2021-02-08,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
370565,2021-02-08,refrigeration,136,1,9,AMADA VIPROS 255,Turret Press,No Operator
370566,2021-02-08,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
