id,day,plant,machine_id,shift,dt,description,category,reason_code
239956,2020-02-10,refrigeration,134,1,375,AMADA TOOL GRINDER - TUGO,Tool sharpener,No Operator
239957,2020-02-10,refrigeration,134,1,15,AMADA TOOL GRINDER - TUGO,Tool sharpener,Operator PM
239958,2020-02-10,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
239959,2020-02-10,refrigeration,73,1,5,FELDMANN DUAL ARM FORMER,Custom,Operator PM
239960,2020-02-10,refrigeration,67,1,5,H&H J-FLANGE FORMER,Custom,Operator PM
239961,2020-02-10,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Operator PM
239962,2020-02-10,refrigeration,94,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
239963,2020-02-10,refrigeration,79,1,5,FELDMANN  FOUR POST FORMER,Custom,Operator PM
239964,2020-02-10,refrigeration,44,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
239965,2020-02-10,refrigeration,88,1,10,CANNON CABINET FOAMER,Custom,Operator PM
239966,2020-02-10,refrigeration,106,1,10,CANNON CABINET FOAMER,Custom,Operator PM
239967,2020-02-10,refrigeration,86,1,10,UTE COPPER TUBE BENDER,Custom,Operator PM
239968,2020-02-10,refrigeration,116,1,15,CANNON DOOR FORM,Custom,Operator PM
239969,2020-02-10,refrigeration,54,1,7,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
239970,2020-02-10,refrigeration,54,1,8,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
239971,2020-02-10,refrigeration,54,1,6,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
239972,2020-02-10,refrigeration,54,1,15,AMADA HFE 8025S PRESS BRAKE,Press Brake,Operator PM
239973,2020-02-10,refrigeration,136,1,16,AMADA VIPROS 255,Turret Press,No Operator
239974,2020-02-10,refrigeration,136,1,5,AMADA VIPROS 255,Turret Press,Set Up
239975,2020-02-10,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Tool Change(dull)
239976,2020-02-10,refrigeration,136,1,9,AMADA VIPROS 255,Turret Press,Set Up
239977,2020-02-10,refrigeration,136,1,6,AMADA VIPROS 255,Turret Press,Set Up
