id,day,plant,machine_id,shift,dt,description,category,reason_code
335984,2020-11-06,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Set Up
335985,2020-11-06,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Set Up
335986,2020-11-06,refrigeration,119,1,25,Amada RG-80 Press Brake,Press Brake,Set Up
335987,2020-11-06,refrigeration,119,1,30,Amada RG-80 Press Brake,Press Brake,Set Up
335988,2020-11-06,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Operator PM
335989,2020-11-06,refrigeration,101,1,480,LORS SPOTWELDER,Spotwelder,No Work
335990,2020-11-06,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
335992,2020-11-06,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
335993,2020-11-06,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
335994,2020-11-06,refrigeration,96,1,35,LORS SPOTWELDER,Spotwelder,Set Up
335995,2020-11-06,refrigeration,96,1,15,LORS SPOTWELDER,Spotwelder,Set Up
335996,2020-11-06,refrigeration,96,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
335997,2020-11-06,refrigeration,96,1,20,LORS SPOTWELDER,Spotwelder,No Work
335999,2020-11-06,refrigeration,98,1,5,LORS SPOTWELDER,Spotwelder,Set Up
336000,2020-11-06,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
336001,2020-11-06,refrigeration,98,1,35,LORS SPOTWELDER,Spotwelder,Set Up
336002,2020-11-06,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
336003,2020-11-06,refrigeration,98,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
336004,2020-11-06,refrigeration,98,1,20,LORS SPOTWELDER,Spotwelder,No Work
336005,2020-11-06,refrigeration,70,1,480,H&H J-FLANGE FORMER,Custom,No Work
336006,2020-11-06,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
336007,2020-11-06,refrigeration,136,1,20,AMADA VIPROS 255,Turret Press,No Operator
336008,2020-11-06,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Tool Change(dull)
336009,2020-11-06,refrigeration,136,1,6,AMADA VIPROS 255,Turret Press,Set Up
336010,2020-11-06,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
336011,2020-11-06,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
336012,2020-11-06,refrigeration,136,1,6,AMADA VIPROS 255,Turret Press,Set Up
336013,2020-11-06,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Set Up
336014,2020-11-06,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Tool Change(dull)
336015,2020-11-06,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Set Up
336016,2020-11-06,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
336017,2020-11-06,refrigeration,136,1,20,AMADA VIPROS 255,Turret Press,Operator PM
336018,2020-11-06,refrigeration,61,1,20,AMADA VIPROS 255,Turret Press,No Operator
336019,2020-11-06,refrigeration,61,1,5,AMADA VIPROS 255,Turret Press,Set Up
336020,2020-11-06,refrigeration,61,1,20,AMADA VIPROS 255,Turret Press,No Operator
336021,2020-11-06,refrigeration,61,1,7,AMADA VIPROS 255,Turret Press,Set Up
336022,2020-11-06,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
336023,2020-11-06,refrigeration,61,1,9,AMADA VIPROS 255,Turret Press,Set Up
336024,2020-11-06,refrigeration,61,1,20,AMADA VIPROS 255,Turret Press,Operator PM
336025,2020-11-06,refrigeration,58,1,8,AMADA VIPROS 358 KING,Turret Press,Set Up
336026,2020-11-06,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
336027,2020-11-06,refrigeration,58,1,14,AMADA VIPROS 358 KING,Turret Press,Set Up
336028,2020-11-06,refrigeration,58,1,30,AMADA VIPROS 358 KING,Turret Press,Operator PM
336030,2020-11-06,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
336031,2020-11-06,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
336032,2020-11-06,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
