id,day,plant,machine_id,shift,dt,description,category,reason_code
389001,2021-04-08,refrigeration,119,1,25,Amada RG-80 Press Brake,Press Brake,Set Up
389002,2021-04-08,refrigeration,119,1,30,Amada RG-80 Press Brake,Press Brake,Set Up
389003,2021-04-08,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Operator PM
389382,2021-04-08,refrigeration,119,1,25,Amada RG-80 Press Brake,Press Brake,Set Up
389383,2021-04-08,refrigeration,119,1,30,Amada RG-80 Press Brake,Press Brake,Set Up
389384,2021-04-08,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Operator PM
389385,2021-04-08,refrigeration,101,1,440,LORS SPOTWELDER,Spotwelder,No Work
389386,2021-04-08,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
389388,2021-04-08,refrigeration,96,1,15,LORS SPOTWELDER,Spotwelder,Set Up
389389,2021-04-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
389390,2021-04-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
389391,2021-04-08,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
389392,2021-04-08,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
389393,2021-04-08,refrigeration,96,1,30,LORS SPOTWELDER,Spotwelder,Operator PM
389394,2021-04-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,No Work
389396,2021-04-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
389397,2021-04-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
389398,2021-04-08,refrigeration,98,1,35,LORS SPOTWELDER,Spotwelder,Set Up
389399,2021-04-08,refrigeration,98,1,30,LORS SPOTWELDER,Spotwelder,Maintenance
389400,2021-04-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
389401,2021-04-08,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
389402,2021-04-08,refrigeration,98,1,30,LORS SPOTWELDER,Spotwelder,Operator PM
389403,2021-04-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,No Work
389404,2021-04-08,refrigeration,70,1,440,H&H J-FLANGE FORMER,Custom,No Work
389405,2021-04-08,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
389406,2021-04-08,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
389407,2021-04-08,refrigeration,58,1,5,AMADA VIPROS 358 KING,Turret Press,Set Up
389408,2021-04-08,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
389409,2021-04-08,refrigeration,58,1,2,AMADA VIPROS 358 KING,Turret Press,Set Up
389410,2021-04-08,refrigeration,58,1,14,AMADA VIPROS 358 KING,Turret Press,Operator PM
389413,2021-04-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
389414,2021-04-08,refrigeration,56,1,1,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
389415,2021-04-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
389416,2021-04-08,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
389417,2021-04-08,refrigeration,56,1,10,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
389418,2021-04-08,refrigeration,56,1,15,AMADA RG-50 PRESS BRAKE,Press Brake,Operator PM
389420,2021-04-08,refrigeration,54,1,6,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
389422,2021-04-08,refrigeration,54,1,15,AMADA HFE 8025S PRESS BRAKE,Press Brake,Operator PM
389424,2021-04-08,refrigeration,54,1,30,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
389425,2021-04-08,refrigeration,54,1,7,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
389426,2021-04-08,refrigeration,54,1,2,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
389427,2021-04-08,refrigeration,54,1,13,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
389429,2021-04-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
389431,2021-04-08,refrigeration,52,1,10,CINCINNATI PRESS BRAKE,Press Brake,Set Up
