id,day,plant,machine_id,shift,dt,description,category,reason_code
380598,2021-03-08,refrigeration,104,1,17,AMADA HFT 8025S PRESS BRAKE,Press Brake,Hit Counter Due
380599,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Hit Counter Due
380600,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Move to another machine
380601,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Hit Counter Due
380602,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Move to another machine
380603,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Hit Counter Due
380604,2021-03-08,refrigeration,104,1,8,AMADA HFT 8025S PRESS BRAKE,Press Brake,Hit Counter Due
380605,2021-03-08,refrigeration,104,1,15,AMADA HFT 8025S PRESS BRAKE,Press Brake,Operator PM
380606,2021-03-08,refrigeration,101,1,480,LORS SPOTWELDER,Spotwelder,No Work
380607,2021-03-08,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
380609,2021-03-08,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
380610,2021-03-08,refrigeration,96,1,3,LORS SPOTWELDER,Spotwelder,Set Up
380611,2021-03-08,refrigeration,96,1,35,LORS SPOTWELDER,Spotwelder,Set Up
380612,2021-03-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
380613,2021-03-08,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Set Up
380614,2021-03-08,refrigeration,96,1,16,LORS SPOTWELDER,Spotwelder,Operator PM
380615,2021-03-08,refrigeration,96,1,13,LORS SPOTWELDER,Spotwelder,No Work
380617,2021-03-08,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
380618,2021-03-08,refrigeration,98,1,36,LORS SPOTWELDER,Spotwelder,Set Up
380619,2021-03-08,refrigeration,98,1,16,LORS SPOTWELDER,Spotwelder,Operator PM
380620,2021-03-08,refrigeration,98,1,13,LORS SPOTWELDER,Spotwelder,No Work
380621,2021-03-08,refrigeration,70,1,480,H&H J-FLANGE FORMER,Custom,No Work
380622,2021-03-08,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
380623,2021-03-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
380624,2021-03-08,refrigeration,61,1,7,AMADA VIPROS 255,Turret Press,Set Up
380625,2021-03-08,refrigeration,61,1,8,AMADA VIPROS 255,Turret Press,No Operator
380626,2021-03-08,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,Set Up
380627,2021-03-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
380628,2021-03-08,refrigeration,61,1,6,AMADA VIPROS 255,Turret Press,Set Up
380629,2021-03-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,Tool Change(special)
380630,2021-03-08,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
380631,2021-03-08,refrigeration,61,1,20,AMADA VIPROS 255,Turret Press,Operator PM
380632,2021-03-08,refrigeration,61,1,120,AMADA VIPROS 255,Turret Press,Move to another machine
380633,2021-03-08,refrigeration,58,1,5,AMADA VIPROS 358 KING,Turret Press,Set Up
380634,2021-03-08,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
380635,2021-03-08,refrigeration,58,1,4,AMADA VIPROS 358 KING,Turret Press,Set Up
380636,2021-03-08,refrigeration,58,1,3,AMADA VIPROS 358 KING,Turret Press,Set Up
380637,2021-03-08,refrigeration,58,1,29,AMADA VIPROS 358 KING,Turret Press,Operator PM
380639,2021-03-08,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
380640,2021-03-08,refrigeration,56,1,20,AMADA RG-50 PRESS BRAKE,Press Brake,Set Up
380642,2021-03-08,refrigeration,56,1,15,AMADA RG-50 PRESS BRAKE,Press Brake,Operator PM
380644,2021-03-08,refrigeration,54,1,9,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
380645,2021-03-08,refrigeration,54,1,8,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
380646,2021-03-08,refrigeration,54,1,5,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
380647,2021-03-08,refrigeration,54,1,7,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
380648,2021-03-08,refrigeration,54,1,6,AMADA HFE 8025S PRESS BRAKE,Press Brake,Set Up
380649,2021-03-08,refrigeration,54,1,15,AMADA HFE 8025S PRESS BRAKE,Press Brake,Operator PM
380651,2021-03-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
380652,2021-03-08,refrigeration,52,1,60,CINCINNATI PRESS BRAKE,Press Brake,Move to another machine
380654,2021-03-08,refrigeration,52,1,10,CINCINNATI PRESS BRAKE,Press Brake,Set Up
380655,2021-03-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
380657,2021-03-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Set Up
380658,2021-03-08,refrigeration,52,1,45,CINCINNATI PRESS BRAKE,Press Brake,Move to another machine
380660,2021-03-08,refrigeration,52,1,15,CINCINNATI PRESS BRAKE,Press Brake,Operator PM
380661,2021-03-08,refrigeration,50,1,5,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
380664,2021-03-08,refrigeration,50,1,30,AMADA VIPROS 357 QUEEN,Turret Press,Operator PM
380666,2021-03-08,refrigeration,42,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380667,2021-03-08,refrigeration,42,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380668,2021-03-08,refrigeration,42,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
380671,2021-03-08,refrigeration,104,1,5,AMADA HFT 8025S PRESS BRAKE,Press Brake,Operator PM
380673,2021-03-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380674,2021-03-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380675,2021-03-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380676,2021-03-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380677,2021-03-08,refrigeration,39,1,10,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380678,2021-03-08,refrigeration,39,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
380679,2021-03-08,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
380680,2021-03-08,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
380681,2021-03-08,refrigeration,7,1,10,AMADA VIPROS 358 KING,Turret Press,Set Up
380682,2021-03-08,refrigeration,7,1,30,AMADA VIPROS 358 KING,Turret Press,Operator PM
380683,2021-03-08,refrigeration,3,1,480,TOMAN TOOL HEAT STAKER,Custom,No Work
380684,2021-03-08,refrigeration,3,1,20,TOMAN TOOL HEAT STAKER,Custom,Operator PM
380685,2021-03-08,refrigeration,158,1,10,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
380686,2021-03-08,refrigeration,158,1,15,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
380687,2021-03-08,refrigeration,158,1,9,AMADA VIPROS 357 QUEEN,Turret Press,Set Up
380688,2021-03-08,refrigeration,158,1,30,AMADA VIPROS 357 QUEEN,Turret Press,Operator PM
380690,2021-03-08,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Set Up
380691,2021-03-08,refrigeration,136,1,5,AMADA VIPROS 255,Turret Press,Set Up
380692,2021-03-08,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
380693,2021-03-08,refrigeration,136,1,12,AMADA VIPROS 255,Turret Press,No Operator
380694,2021-03-08,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Set Up
380695,2021-03-08,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Tool Change(dull)
380696,2021-03-08,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Set Up
380697,2021-03-08,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
380698,2021-03-08,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Set Up
380699,2021-03-08,refrigeration,136,1,21,AMADA VIPROS 255,Turret Press,Operator PM
380700,2021-03-08,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,No Operator
380701,2021-03-08,refrigeration,104,1,15,AMADA HFT 8025S PRESS BRAKE,Press Brake,Operator PM
380703,2021-03-08,refrigeration,104,1,12,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
380705,2021-03-08,refrigeration,104,1,14,AMADA HFT 8025S PRESS BRAKE,Press Brake,Set Up
380706,2021-03-08,refrigeration,109,1,600,Charge Station 7 S,Custom,Maintenance
380707,2021-03-08,refrigeration,111,1,60,Charge Station  5 S,Custom,Set Up
380708,2021-03-08,refrigeration,111,1,32,Charge Station  5 S,Custom,No Work
380709,2021-03-08,refrigeration,111,1,26,Charge Station  5 S,Custom,No Work
380710,2021-03-08,refrigeration,111,1,15,Charge Station  5 S,Custom,No Work
380711,2021-03-08,refrigeration,111,1,20,Charge Station  5 S,Custom,No Work
380712,2021-03-08,refrigeration,111,1,18,Charge Station  5 S,Custom,No Work
380713,2021-03-08,refrigeration,111,1,25,Charge Station  5 S,Custom,No Work
380714,2021-03-08,refrigeration,111,1,18,Charge Station  5 S,Custom,No Work
380715,2021-03-08,refrigeration,111,1,15,Charge Station  5 S,Custom,Operator PM
380717,2021-03-08,refrigeration,116,1,30,CANNON DOOR FORM,Custom,Tool Change(special)
380719,2021-03-08,refrigeration,116,1,30,CANNON DOOR FORM,Custom,Tool Change(special)
380721,2021-03-08,refrigeration,94,1,5,LORS SPOTWELDER,Spotwelder,Set Up
380722,2021-03-08,refrigeration,94,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
380724,2021-03-08,refrigeration,44,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
380726,2021-03-08,refrigeration,44,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
380727,2021-03-08,refrigeration,79,1,5,FELDMANN  FOUR POST FORMER,Custom,Set Up
380728,2021-03-08,refrigeration,79,1,15,FELDMANN  FOUR POST FORMER,Custom,Operator PM
380730,2021-03-08,refrigeration,67,1,600,H&H J-FLANGE FORMER,Custom,No Work
380731,2021-03-08,refrigeration,73,1,5,FELDMANN DUAL ARM FORMER,Custom,Set Up
380733,2021-03-08,refrigeration,73,1,10,FELDMANN DUAL ARM FORMER,Custom,Operator PM
380734,2021-03-08,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Set Up
380736,2021-03-08,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
380737,2021-03-08,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Set Up
380739,2021-03-08,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Operator PM
380743,2021-03-08,refrigeration,106,1,10,CANNON CABINET FOAMER,Custom,Operator PM
