id,day,plant,machine_id,shift,dt,description,category,reason_code
407126,2021-04-20,refrigeration,67,1,600,H&H J-FLANGE FORMER,Custom,No Work
407127,2021-04-20,refrigeration,73,1,5,FELDMANN DUAL ARM FORMER,Custom,Set Up
407129,2021-04-20,refrigeration,73,1,10,FELDMANN DUAL ARM FORMER,Custom,Operator PM
407130,2021-04-20,refrigeration,79,1,5,FELDMANN  FOUR POST FORMER,Custom,Set Up
407132,2021-04-20,refrigeration,79,1,15,FELDMANN  FOUR POST FORMER,Custom,Operator PM
407133,2021-04-20,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Set Up
407136,2021-04-20,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
407137,2021-04-20,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Set Up
407139,2021-04-20,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Operator PM
407140,2021-04-20,refrigeration,44,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Set Up
407142,2021-04-20,refrigeration,44,1,15,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
407143,2021-04-20,refrigeration,94,1,5,LORS SPOTWELDER,Spotwelder,Set Up
407145,2021-04-20,refrigeration,94,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
407146,2021-04-20,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Set Up
407148,2021-04-20,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
407158,2021-04-20,refrigeration,109,1,30,Charge Station 7 S,Custom,Set Up
407160,2021-04-20,refrigeration,109,1,26,Charge Station 7 S,Custom,No Work
407161,2021-04-20,refrigeration,109,1,36,Charge Station 7 S,Custom,No Work
407162,2021-04-20,refrigeration,109,1,21,Charge Station 7 S,Custom,No Work
407164,2021-04-20,refrigeration,111,1,30,Charge Station  5 S,Custom,Set Up
407166,2021-04-20,refrigeration,111,1,26,Charge Station  5 S,Custom,No Work
407167,2021-04-20,refrigeration,111,1,36,Charge Station  5 S,Custom,No Work
407168,2021-04-20,refrigeration,111,1,21,Charge Station  5 S,Custom,No Work
407171,2021-04-20,refrigeration,106,1,10,CANNON CABINET FOAMER,Custom,Operator PM
407174,2021-04-20,refrigeration,119,1,30,Amada RG-80 Press Brake,Press Brake,Set Up
407175,2021-04-20,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Set Up
407176,2021-04-20,refrigeration,119,1,15,Amada RG-80 Press Brake,Press Brake,Operator PM
407177,2021-04-20,refrigeration,101,1,480,LORS SPOTWELDER,Spotwelder,No Work
407178,2021-04-20,refrigeration,101,1,20,LORS SPOTWELDER,Spotwelder,Operator PM
407180,2021-04-20,refrigeration,96,1,15,LORS SPOTWELDER,Spotwelder,Set Up
407181,2021-04-20,refrigeration,96,1,30,LORS SPOTWELDER,Spotwelder,Set Up
407182,2021-04-20,refrigeration,96,1,5,LORS SPOTWELDER,Spotwelder,Set Up
407183,2021-04-20,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,Operator PM
407184,2021-04-20,refrigeration,96,1,10,LORS SPOTWELDER,Spotwelder,No Work
407186,2021-04-20,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
407187,2021-04-20,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Set Up
407188,2021-04-20,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
407189,2021-04-20,refrigeration,98,1,15,LORS SPOTWELDER,Spotwelder,Set Up
407190,2021-04-20,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,Operator PM
407191,2021-04-20,refrigeration,98,1,10,LORS SPOTWELDER,Spotwelder,No Work
407192,2021-04-20,refrigeration,70,1,480,H&H J-FLANGE FORMER,Custom,No Work
407193,2021-04-20,refrigeration,70,1,20,H&H J-FLANGE FORMER,Custom,Operator PM
407194,2021-04-20,refrigeration,61,1,10,AMADA VIPROS 255,Turret Press,No Operator
