id,day,plant,machine_id,shift,dt,description,category,reason_code
243918,2020-02-19,refrigeration,86,1,15,UTE COPPER TUBE BENDER,Custom,Operator PM
243919,2020-02-19,refrigeration,88,1,10,CANNON CABINET FOAMER,Custom,Operator PM
243920,2020-02-19,refrigeration,106,1,10,CANNON CABINET FOAMER,Custom,Operator PM
243921,2020-02-19,refrigeration,94,1,15,LORS SPOTWELDER,Spotwelder,Operator PM
243922,2020-02-19,refrigeration,79,1,10,FELDMANN  FOUR POST FORMER,Custom,Operator PM
243923,2020-02-19,refrigeration,44,1,5,AMADA RG-80 PRESS BRAKE,Press Brake,Operator PM
243924,2020-02-19,refrigeration,76,1,5,GMT STAKING MACHINE (SPECIAL),Custom,Operator PM
243925,2020-02-19,refrigeration,73,1,5,FELDMANN DUAL ARM FORMER,Custom,Operator PM
243926,2020-02-19,refrigeration,63,1,5,AMADA RG 50 PRESS BRAKE,Press Brake,Operator PM
243927,2020-02-19,refrigeration,67,1,5,H&H J-FLANGE FORMER,Custom,Operator PM
243928,2020-02-19,refrigeration,116,1,15,CANNON DOOR FORM,Custom,Operator PM
243929,2020-02-19,refrigeration,116,1,10,CANNON DOOR FORM,Custom,Set Up
243930,2020-02-19,refrigeration,116,1,15,CANNON DOOR FORM,Custom,Set Up
243931,2020-02-19,refrigeration,116,1,8,CANNON DOOR FORM,Custom,Set Up
243932,2020-02-19,refrigeration,116,1,15,CANNON DOOR FORM,Custom,Operator PM
243933,2020-02-19,refrigeration,136,1,19,AMADA VIPROS 255,Turret Press,No Operator
243934,2020-02-19,refrigeration,136,1,10,AMADA VIPROS 255,Turret Press,Set Up
243935,2020-02-19,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Tool Change(dull)
243936,2020-02-19,refrigeration,136,1,8,AMADA VIPROS 255,Turret Press,Set Up
243937,2020-02-19,refrigeration,136,1,7,AMADA VIPROS 255,Turret Press,Tool Change(dull)
243938,2020-02-19,refrigeration,136,1,14,AMADA VIPROS 255,Turret Press,Set Up
