date,bike_count
2014-07-01,6697
2014-07-02,6304
2014-07-03,5186
2014-07-04,5462
2014-07-05,4537
2014-07-06,7343
2014-07-07,5867
2014-07-08,7128
2014-07-09,6733
2014-07-10,6292
2014-07-11,5948
2014-07-12,7038
2014-07-13,6376
2014-07-14,6028
2014-07-15,6551
2014-07-16,6681
2014-07-17,5867
2014-07-18,5953
2014-07-19,5187
2014-07-20,3910
2014-07-21,6457
2014-07-22,5927
2014-07-23,2339
2014-07-24,3618
2014-07-25,5476
2014-07-26,6378
2014-07-27,6533
2014-07-28,6553
2014-07-29,7024
2014-07-30,6684
2014-07-31,6384
