date,bike_count
2015-10-01,3884
2015-10-02,2860
2015-10-03,3464
2015-10-04,4346
2015-10-05,4320
2015-10-06,3698
2015-10-07,1970
2015-10-08,3341
2015-10-09,2917
2015-10-10,861
2015-10-11,3285
2015-10-12,3056
2015-10-13,3316
2015-10-14,3609
2015-10-15,3810
2015-10-16,4052
2015-10-17,2838
2015-10-18,1344
2015-10-19,2916
2015-10-20,4080
2015-10-21,3386
2015-10-22,3476
2015-10-23,3188
2015-10-24,2347
2015-10-25,2162
2015-10-26,2080
2015-10-27,3777
2015-10-28,2349
2015-10-29,2803
2015-10-30,1899
2015-10-31,752
