date,bike_count
2017-03-01,2027
2017-03-02,1633
2017-03-03,1186
2017-03-04,2047
2017-03-05,889
2017-03-06,1841
2017-03-07,1312
2017-03-08,1908
2017-03-09,1407
2017-03-10,1829
2017-03-11,896
2017-03-12,NA
2017-03-13,1445
2017-03-14,1587
2017-03-15,1376
2017-03-16,2801
2017-03-17,1526
2017-03-18,915
2017-03-19,4284
2017-03-20,2555
2017-03-21,1746
2017-03-22,2219
2017-03-23,2803
2017-03-24,1418
2017-03-25,3108
2017-03-26,890
2017-03-27,2209
2017-03-28,1905
2017-03-29,1729
2017-03-30,2718
2017-03-31,3726
