date,bike_count
2014-05-01,NA
2014-05-02,5387
2014-05-03,2958
2014-05-04,1351
2014-05-05,3273
2014-05-06,4857
2014-05-07,6588
2014-05-08,3258
2014-05-09,3141
2014-05-10,4197
2014-05-11,5898
2014-05-12,6430
2014-05-13,7284
2014-05-14,6934
2014-05-15,6395
2014-05-16,6055
2014-05-17,6869
2014-05-18,4434
2014-05-19,5271
2014-05-20,6455
2014-05-21,5798
2014-05-22,5953
2014-05-23,2895
2014-05-24,5189
2014-05-25,2780
2014-05-26,4786
2014-05-27,5859
2014-05-28,4259
2014-05-29,4915
2014-05-30,6228
2014-05-31,7334
