date,bike_count
2014-01-01,1880
2014-01-02,2070
2014-01-03,2503
2014-01-04,2894
2014-01-05,2252
2014-01-06,2317
2014-01-07,1926
2014-01-08,2066
2014-01-09,1967
2014-01-10,1853
2014-01-11,1044
2014-01-12,1476
2014-01-13,2458
2014-01-14,2810
2014-01-15,3044
2014-01-16,2700
2014-01-17,2479
2014-01-18,2612
2014-01-19,1722
2014-01-20,2480
2014-01-21,2605
2014-01-22,2666
2014-01-23,2640
2014-01-24,2838
2014-01-25,3562
2014-01-26,3015
2014-01-27,2367
2014-01-28,2454
2014-01-29,1827
2014-01-30,2187
2014-01-31,2195
