date,bike_count
2018-10-01,2332
2018-10-02,2748
2018-10-03,3115
2018-10-04,3434
2018-10-05,1733
2018-10-06,2758
2018-10-07,1313
2018-10-08,1898
2018-10-09,2614
2018-10-10,3516
2018-10-11,3400
2018-10-12,3071
2018-10-13,3106
2018-10-14,3244
2018-10-15,3331
2018-10-16,3662
2018-10-17,3701
2018-10-18,3082
2018-10-19,2938
2018-10-20,2678
2018-10-21,2343
2018-10-22,2799
2018-10-23,2619
2018-10-24,2821
2018-10-25,1819
2018-10-26,1992
2018-10-27,2331
2018-10-28,996
2018-10-29,2227
2018-10-30,2748
2018-10-31,2141
