date,bike_count
2017-12-01,1663
2017-12-02,592
2017-12-03,1594
2017-12-04,2428
2017-12-05,2418
2017-12-06,2486
2017-12-07,2158
2017-12-08,1859
2017-12-09,1459
2017-12-10,1453
2017-12-11,1898
2017-12-12,2008
2017-12-13,2102
2017-12-14,2035
2017-12-15,1482
2017-12-16,1141
2017-12-17,656
2017-12-18,1103
2017-12-19,1046
2017-12-20,1857
2017-12-21,1298
2017-12-22,1012
2017-12-23,1121
2017-12-24,489
2017-12-25,119
2017-12-26,622
2017-12-27,893
2017-12-28,927
2017-12-29,625
2017-12-30,1432
2017-12-31,1488
