date,bike_count
2017-10-01,2568
2017-10-02,3697
2017-10-03,4244
2017-10-04,4131
2017-10-05,4122
2017-10-06,3249
2017-10-07,1987
2017-10-08,2645
2017-10-09,3868
2017-10-10,2979
2017-10-11,2899
2017-10-12,2231
2017-10-13,2554
2017-10-14,2553
2017-10-15,3772
2017-10-16,3696
2017-10-17,2369
2017-10-18,1917
2017-10-19,1727
2017-10-20,2067
2017-10-21,721
2017-10-22,2339
2017-10-23,3912
2017-10-24,4154
2017-10-25,2878
2017-10-26,3332
2017-10-27,3563
2017-10-28,3478
2017-10-29,2426
2017-10-30,3660
2017-10-31,3615
