date,bike_count
2019-01-01,1140
2019-01-02,1775
2019-01-03,1165
2019-01-04,1648
2019-01-05,1531
2019-01-06,882
2019-01-07,2049
2019-01-08,1490
2019-01-09,1560
2019-01-10,2051
2019-01-11,2353
2019-01-12,3127
2019-01-13,2976
2019-01-14,3188
2019-01-15,2548
2019-01-16,2464
2019-01-17,1913
2019-01-18,1721
2019-01-19,1525
2019-01-20,1459
2019-01-21,2126
2019-01-22,1818
2019-01-23,2080
2019-01-24,2383
2019-01-25,2380
2019-01-26,2778
2019-01-27,1715
2019-01-28,1406
2019-01-29,2410
2019-01-30,2575
2019-01-31,2388
