date,bike_count
2015-05-01,5016
2015-05-02,5434
2015-05-03,5968
2015-05-04,4636
2015-05-05,2173
2015-05-06,3843
2015-05-07,5401
2015-05-08,5204
2015-05-09,6580
2015-05-10,4842
2015-05-11,3491
2015-05-12,3495
2015-05-13,2295
2015-05-14,4051
2015-05-15,5421
2015-05-16,5433
2015-05-17,4644
2015-05-18,5501
2015-05-19,5149
2015-05-20,5042
2015-05-21,5856
2015-05-22,4048
2015-05-23,3207
2015-05-24,4301
2015-05-25,4503
2015-05-26,4860
2015-05-27,5743
2015-05-28,6192
2015-05-29,5726
2015-05-30,6005
2015-05-31,5600
