date,bike_count
2017-07-01,5628
2017-07-02,5922
2017-07-03,4728
2017-07-04,6474
2017-07-05,5073
2017-07-06,5694
2017-07-07,5528
2017-07-08,6774
2017-07-09,6286
2017-07-10,5023
2017-07-11,5714
2017-07-12,5833
2017-07-13,5048
2017-07-14,5154
2017-07-15,5582
2017-07-16,5243
2017-07-17,5139
2017-07-18,5773
2017-07-19,5620
2017-07-20,4743
2017-07-21,4537
2017-07-22,4935
2017-07-23,4980
2017-07-24,5060
2017-07-25,5365
2017-07-26,5191
2017-07-27,4064
2017-07-28,4770
2017-07-29,5711
2017-07-30,5539
2017-07-31,5160
