date,bike_count
2016-05-01,6721
2016-05-02,7077
2016-05-03,5779
2016-05-04,4220
2016-05-05,5566
2016-05-06,5883
2016-05-07,7697
2016-05-08,2623
2016-05-09,5172
2016-05-10,6163
2016-05-11,6031
2016-05-12,5855
2016-05-13,5887
2016-05-14,3538
2016-05-15,2076
2016-05-16,3739
2016-05-17,5879
2016-05-18,4613
2016-05-19,3025
2016-05-20,5160
2016-05-21,2205
2016-05-22,4705
2016-05-23,4249
2016-05-24,5132
2016-05-25,4756
2016-05-26,3940
2016-05-27,3116
2016-05-28,2322
2016-05-29,1890
2016-05-30,7611
2016-05-31,5896
