date,bike_count
2015-03-01,2433
2015-03-02,1447
2015-03-03,1863
2015-03-04,2018
2015-03-05,1902
2015-03-06,2087
2015-03-07,3374
2015-03-08,NA
2015-03-09,2210
2015-03-10,2051
2015-03-11,1340
2015-03-12,2188
2015-03-13,2404
2015-03-14,1113
2015-03-15,416
2015-03-16,1896
2015-03-17,1570
2015-03-18,2265
2015-03-19,1754
2015-03-20,1376
2015-03-21,1821
2015-03-22,1723
2015-03-23,1246
2015-03-24,1482
2015-03-25,1151
2015-03-26,2697
2015-03-27,2334
2015-03-28,2786
2015-03-29,2267
2015-03-30,2444
2015-03-31,1294
