date,bike_count
2015-01-01,1298
2015-01-02,1426
2015-01-03,1649
2015-01-04,782
2015-01-05,1936
2015-01-06,3180
2015-01-07,3005
2015-01-08,2953
2015-01-09,2619
2015-01-10,1743
2015-01-11,1917
2015-01-12,2962
2015-01-13,3232
2015-01-14,3075
2015-01-15,2201
2015-01-16,2875
2015-01-17,1702
2015-01-18,972
2015-01-19,2632
2015-01-20,3300
2015-01-21,2875
2015-01-22,2389
2015-01-23,2166
2015-01-24,2466
2015-01-25,4768
2015-01-26,3955
2015-01-27,2813
2015-01-28,3139
2015-01-29,3307
2015-01-30,3190
2015-01-31,3070
