date,bike_count
2014-10-01,4398
2014-10-02,NA
2014-10-03,4622
2014-10-04,4121
2014-10-05,4727
2014-10-06,4670
2014-10-07,4339
2014-10-08,4346
2014-10-09,4269
2014-10-10,3643
2014-10-11,2701
2014-10-12,3082
2014-10-13,3799
2014-10-14,3414
2014-10-15,2896
2014-10-16,4207
2014-10-17,2746
2014-10-18,2563
2014-10-19,4863
2014-10-20,3142
2014-10-21,3391
2014-10-22,2420
2014-10-23,2675
2014-10-24,3724
2014-10-25,1845
2014-10-26,1964
2014-10-27,3974
2014-10-28,2717
2014-10-29,3976
2014-10-30,2906
2014-10-31,2507
