date,bike_count
2018-05-01,4408
2018-05-02,5512
2018-05-03,5255
2018-05-04,3982
2018-05-05,5318
2018-05-06,5689
2018-05-07,4435
2018-05-08,4722
2018-05-09,NA
2018-05-10,3060
2018-05-11,4654
2018-05-12,6554
2018-05-13,6269
2018-05-14,5665
2018-05-15,5141
2018-05-16,5036
2018-05-17,4467
2018-05-18,4440
2018-05-19,5221
2018-05-20,4188
2018-05-21,4834
2018-05-22,5873
2018-05-23,4834
2018-05-24,4559
2018-05-25,4063
2018-05-26,4589
2018-05-27,5905
2018-05-28,5541
2018-05-29,3829
2018-05-30,24029
2018-05-31,3008
