date,bike_count
2015-12-01,1764
2015-12-02,1646
2015-12-03,1173
2015-12-04,1525
2015-12-05,485
2015-12-06,643
2015-12-07,1475
2015-12-08,1426
2015-12-09,1948
2015-12-10,1501
2015-12-11,2057
2015-12-12,683
2015-12-13,840
2015-12-14,2330
2015-12-15,2076
2015-12-16,2223
2015-12-17,1320
2015-12-18,1541
2015-12-19,1306
2015-12-20,795
2015-12-21,1165
2015-12-22,1555
2015-12-23,1108
2015-12-24,804
2015-12-25,479
2015-12-26,984
2015-12-27,428
2015-12-28,1320
2015-12-29,1721
2015-12-30,1610
2015-12-31,1437
