date,bike_count
2014-12-01,1770
2014-12-02,2040
2014-12-03,2361
2014-12-04,2322
2014-12-05,2111
2014-12-06,1914
2014-12-07,2345
2014-12-08,2769
2014-12-09,2345
2014-12-10,2220
2014-12-11,2132
2014-12-12,2628
2014-12-13,2477
2014-12-14,2598
2014-12-15,2764
2014-12-16,2836
2014-12-17,2404
2014-12-18,2295
2014-12-19,1951
2014-12-20,1002
2014-12-21,1828
2014-12-22,2435
2014-12-23,1712
2014-12-24,1282
2014-12-25,1077
2014-12-26,1730
2014-12-27,1001
2014-12-28,1304
2014-12-29,1832
2014-12-30,1329
2014-12-31,1238
