date,bike_count
2014-08-01,5705
2014-08-02,5502
2014-08-03,6417
2014-08-04,6301
2014-08-05,5963
2014-08-06,6114
2014-08-07,6176
2014-08-08,5675
2014-08-09,6094
2014-08-10,6565
2014-08-11,NA
2014-08-12,4675
2014-08-13,3988
2014-08-14,4781
2014-08-15,4532
2014-08-16,5877
2014-08-17,5380
2014-08-18,5712
2014-08-19,5889
2014-08-20,5171
2014-08-21,5243
2014-08-22,5402
2014-08-23,5808
2014-08-24,5881
2014-08-25,5606
2014-08-26,5636
2014-08-27,5447
2014-08-28,5109
2014-08-29,4163
2014-08-30,1985
2014-08-31,4208
