date,bike_count
2018-12-01,1254
2018-12-02,1345
2018-12-03,2311
2018-12-04,2125
2018-12-05,2048
2018-12-06,1974
2018-12-07,1790
2018-12-08,1450
2018-12-09,347
2018-12-10,2167
2018-12-11,1365
2018-12-12,1914
2018-12-13,1576
2018-12-14,1662
2018-12-15,1751
2018-12-16,543
2018-12-17,1809
2018-12-18,1366
2018-12-19,1817
2018-12-20,1078
2018-12-21,1658
2018-12-22,853
2018-12-23,502
2018-12-24,1161
2018-12-25,605
2018-12-26,725
2018-12-27,1291
2018-12-28,644
2018-12-29,426
2018-12-30,1344
2018-12-31,1369
