date,bike_count
2016-08-01,4150
2016-08-02,3106
2016-08-03,2634
2016-08-04,2658
2016-08-05,4341
2016-08-06,4805
2016-08-07,3664
2016-08-08,3632
2016-08-09,4292
2016-08-10,5257
2016-08-11,5313
2016-08-12,5687
2016-08-13,5666
2016-08-14,5526
2016-08-15,4919
2016-08-16,5264
2016-08-17,4686
2016-08-18,4262
2016-08-19,3496
2016-08-20,3350
2016-08-21,3289
2016-08-22,4392
2016-08-23,5228
2016-08-24,5183
2016-08-25,5035
2016-08-26,4267
2016-08-27,3809
2016-08-28,4030
2016-08-29,4690
2016-08-30,4746
2016-08-31,3438
