date,bike_count
2016-07-01,4300
2016-07-02,4635
2016-07-03,3794
2016-07-04,3539
2016-07-05,3238
2016-07-06,5504
2016-07-07,3068
2016-07-08,3492
2016-07-09,4056
2016-07-10,4833
2016-07-11,4362
2016-07-12,4590
2016-07-13,5034
2016-07-14,4991
2016-07-15,4178
2016-07-16,3844
2016-07-17,4331
2016-07-18,3548
2016-07-19,4393
2016-07-20,4815
2016-07-21,4679
2016-07-22,1966
2016-07-23,3853
2016-07-24,5086
2016-07-25,4680
2016-07-26,4697
2016-07-27,4690
2016-07-28,4549
2016-07-29,4192
2016-07-30,4205
2016-07-31,4101
