date,bike_count
2014-03-01,2376
2014-03-02,1159
2014-03-03,2061
2014-03-04,2112
2014-03-05,2153
2014-03-06,2027
2014-03-07,3186
2014-03-08,1955
2014-03-09,NA
2014-03-10,2257
2014-03-11,4051
2014-03-12,4503
2014-03-13,3583
2014-03-14,2659
2014-03-15,2802
2014-03-16,949
2014-03-17,3181
2014-03-18,3024
2014-03-19,2285
2014-03-20,3070
2014-03-21,3431
2014-03-22,3684
2014-03-23,4575
2014-03-24,4472
2014-03-25,2212
2014-03-26,2425
2014-03-27,2809
2014-03-28,1814
2014-03-29,1451
2014-03-30,3372
2014-03-31,4121
