date,bike_count
2018-03-01,2351
2018-03-02,1728
2018-03-03,3199
2018-03-04,1518
2018-03-05,2055
2018-03-06,3086
2018-03-07,2108
2018-03-08,1023
2018-03-09,2065
2018-03-10,3669
2018-03-11,NA
2018-03-12,4332
2018-03-13,1513
2018-03-14,2254
2018-03-15,2993
2018-03-16,3009
2018-03-17,2437
2018-03-18,3059
2018-03-19,2789
2018-03-20,3121
2018-03-21,2433
2018-03-22,1210
2018-03-23,1223
2018-03-24,1801
2018-03-25,2969
2018-03-26,1627
2018-03-27,1765
2018-03-28,2524
2018-03-29,2683
2018-03-30,2515
2018-03-31,4222
