date,bike_count
2016-12-01,2525
2016-12-02,1370
2016-12-03,1354
2016-12-04,1555
2016-12-05,1294
2016-12-06,1618
2016-12-07,1581
2016-12-08,1227
2016-12-09,449
2016-12-10,589
2016-12-11,600
2016-12-12,1568
2016-12-13,1874
2016-12-14,1573
2016-12-15,1548
2016-12-16,1241
2016-12-17,716
2016-12-18,794
2016-12-19,1175
2016-12-20,1643
2016-12-21,1853
2016-12-22,1286
2016-12-23,552
2016-12-24,715
2016-12-25,552
2016-12-26,691
2016-12-27,1069
2016-12-28,1615
2016-12-29,969
2016-12-30,1310
2016-12-31,672
