date,bike_count
2015-07-01,5949
2015-07-02,5389
2015-07-03,5622
2015-07-04,5000
2015-07-05,4908
2015-07-06,5247
2015-07-07,5802
2015-07-08,5773
2015-07-09,5542
2015-07-10,4581
2015-07-11,4500
2015-07-12,5026
2015-07-13,4561
2015-07-14,5905
2015-07-15,5622
2015-07-16,5388
2015-07-17,5061
2015-07-18,5629
2015-07-19,4864
2015-07-20,4988
2015-07-21,4953
2015-07-22,5620
2015-07-23,5527
2015-07-24,4010
2015-07-25,3025
2015-07-26,2920
2015-07-27,4976
2015-07-28,5976
2015-07-29,5720
2015-07-30,5611
2015-07-31,5160
