date,bike_count
2016-10-01,1750
2016-10-02,3311
2016-10-03,3786
2016-10-04,2669
2016-10-05,3291
2016-10-06,3040
2016-10-07,2359
2016-10-08,1005
2016-10-09,1934
2016-10-10,3420
2016-10-11,3969
2016-10-12,3750
2016-10-13,1218
2016-10-14,877
2016-10-15,488
2016-10-16,802
2016-10-17,2384
2016-10-18,2655
2016-10-19,3168
2016-10-20,1846
2016-10-21,2567
2016-10-22,3169
2016-10-23,2032
2016-10-24,2580
2016-10-25,2984
2016-10-26,1603
2016-10-27,2364
2016-10-28,3164
2016-10-29,1168
2016-10-30,1846
2016-10-31,1831
