date,bike_count
2016-01-01,1341
2016-01-02,1334
2016-01-03,945
2016-01-04,1507
2016-01-05,1716
2016-01-06,2518
2016-01-07,2101
2016-01-08,2265
2016-01-09,1862
2016-01-10,1997
2016-01-11,1786
2016-01-12,1644
2016-01-13,1528
2016-01-14,2391
2016-01-15,1742
2016-01-16,944
2016-01-17,653
2016-01-18,2067
2016-01-19,1912
2016-01-20,2297
2016-01-21,1230
2016-01-22,2035
2016-01-23,736
2016-01-24,2424
2016-01-25,2853
2016-01-26,1819
2016-01-27,1960
2016-01-28,1711
2016-01-29,1795
2016-01-30,1914
2016-01-31,1541
