date,bike_count
2018-01-01,1479
2018-01-02,1837
2018-01-03,2301
2018-01-04,1910
2018-01-05,1385
2018-01-06,1141
2018-01-07,868
2018-01-08,2471
2018-01-09,1904
2018-01-10,1995
2018-01-11,1211
2018-01-12,1617
2018-01-13,2124
2018-01-14,3427
2018-01-15,2720
2018-01-16,2124
2018-01-17,1726
2018-01-18,1639
2018-01-19,1728
2018-01-20,1188
2018-01-21,682
2018-01-22,2191
2018-01-23,1392
2018-01-24,1541
2018-01-25,1640
2018-01-26,1635
2018-01-27,837
2018-01-28,1388
2018-01-29,1406
2018-01-30,2341
2018-01-31,2048
