date,bike_count
2016-03-01,1535
2016-03-02,2399
2016-03-03,2171
2016-03-04,2083
2016-03-05,3816
2016-03-06,1102
2016-03-07,1835
2016-03-08,2692
2016-03-09,1735
2016-03-10,1660
2016-03-11,2269
2016-03-12,1417
2016-03-13,NA
2016-03-14,1800
2016-03-15,2351
2016-03-16,3143
2016-03-17,3466
2016-03-18,3340
2016-03-19,3653
2016-03-20,1235
2016-03-21,1785
2016-03-22,2728
2016-03-23,2218
2016-03-24,2621
2016-03-25,3264
2016-03-26,4422
2016-03-27,805
2016-03-28,3084
2016-03-29,4343
2016-03-30,4848
2016-03-31,4867
