date,bike_count
2015-08-01,5225
2015-08-02,5194
2015-08-03,5226
2015-08-04,5591
2015-08-05,4647
2015-08-06,5231
2015-08-07,5310
2015-08-08,4412
2015-08-09,5804
2015-08-10,4853
2015-08-11,5507
2015-08-12,4915
2015-08-13,5176
2015-08-14,2885
2015-08-15,4120
2015-08-16,4472
2015-08-17,5019
2015-08-18,5458
2015-08-19,5246
2015-08-20,4491
2015-08-21,4166
2015-08-22,4901
2015-08-23,5096
2015-08-24,4713
2015-08-25,5046
2015-08-26,5204
2015-08-27,5481
2015-08-28,3211
2015-08-29,1220
2015-08-30,2180
2015-08-31,2426
