date,bike_count
2017-01-01,554
2017-01-02,898
2017-01-03,NA
2017-01-04,1376
2017-01-05,1382
2017-01-06,1350
2017-01-07,1001
2017-01-08,428
2017-01-09,1716
2017-01-10,1433
2017-01-11,1551
2017-01-12,1533
2017-01-13,1393
2017-01-14,1275
2017-01-15,1507
2017-01-16,1503
2017-01-17,1484
2017-01-18,1152
2017-01-19,1485
2017-01-20,1979
2017-01-21,1657
2017-01-22,762
2017-01-23,2237
2017-01-24,2153
2017-01-25,1850
2017-01-26,2018
2017-01-27,2248
2017-01-28,2393
2017-01-29,1447
2017-01-30,2162
2017-01-31,2284
