date,bike_count
2017-08-01,5617
2017-08-02,5134
2017-08-03,4423
2017-08-04,4221
2017-08-05,4712
2017-08-06,5293
2017-08-07,4802
2017-08-08,5320
2017-08-09,5007
2017-08-10,4796
2017-08-11,4620
2017-08-12,5132
2017-08-13,3777
2017-08-14,4960
2017-08-15,5556
2017-08-16,5311
2017-08-17,4808
2017-08-18,5472
2017-08-19,3844
2017-08-20,3606
2017-08-21,4105
2017-08-22,4984
2017-08-23,5140
2017-08-24,4511
2017-08-25,4762
2017-08-26,5051
2017-08-27,5251
2017-08-28,4690
2017-08-29,5284
2017-08-30,4820
2017-08-31,4121
